2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(5, 2, 5) pool=70 drawn=25
2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(6, 0, 4) pool=31 drawn=11
2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(6, 0, 5) pool=6 drawn=2
2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(6, 1, 4) pool=13 drawn=4
2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(6, 1, 5) pool=141 drawn=51
2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(6, 2, 5) pool=112 drawn=41
2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(7, 0, 5) pool=5 drawn=1
2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(7, 1, 5) pool=150 drawn=55
2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(7, 2, 5) pool=66 drawn=24
2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(8, 0, 5) pool=3 drawn=1
2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(8, 1, 5) pool=82 drawn=30
2026-04-25 16:33:54,829 | DEBUG   | build_curated_set | Pass1 L4 correct cell=(8, 2, 5) pool=54 drawn=19
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(0, 0, 4) pool=65 drawn=17
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(0, 1, 4) pool=349 drawn=93
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(0, 1, 5) pool=28 drawn=7
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(0, 2, 5) pool=56 drawn=15
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(1, 0, 4) pool=17 drawn=4
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(1, 0, 5) pool=3 drawn=1
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(1, 1, 4) pool=141 drawn=37
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(1, 1, 5) pool=176 drawn=47
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(1, 2, 5) pool=326 drawn=87
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(2, 0, 4) pool=8 drawn=2
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(2, 0, 5) pool=5 drawn=1
2026-04-25 16:33:54,833 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(2, 1, 4) pool=30 drawn=8
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(2, 1, 5) pool=275 drawn=73
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(2, 2, 5) pool=433 drawn=116
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(3, 0, 4) pool=36 drawn=9
2026-04-25 16:33:54,834 | DEBUG   | build_curated_set | Pass1 L4 wrong cell=(3, 0, 5) pool=2 drawn=1
